opcode_byte,mnemonic,addr_mode,cycles
0x01,nop,inh,2
0x06,tap,inh,2
0x07,tpa,inh,2
0x08,inx,inh,2
0x09,dex,inh,2
0x0a,clv,inh,2
0x0b,sev,inh,2
0x0c,clc,inh,2
0x0d,sec,inh,2
0x0e,cli,inh,2
0x0f,sei,inh,2
0x10,sba,inh,2
0x11,cba,inh,2
0x16,tab,inh,2
0x17,tba,inh,2
0x19,daa,inh,2
0x1b,aba,inh,2
0x20,bra,rel,3
0x22,bhi,rel,3
0x23,bls,rel,3
0x24,bcc,rel,3
0x25,bcs,rel,3
0x26,bne,rel,3
0x27,beq,rel,3
0x28,bvc,rel,3
0x29,bvs,rel,3
0x2a,bpl,rel,3
0x2b,bmi,rel,3
0x2c,bge,rel,3
0x2d,blt,rel,3
0x2e,bgt,rel,3
0x2f,ble,rel,3
0x30,tsx,inh,2
0x31,ins,inh,2
0x32,pula,inh,2
0x33,pulb,inh,2
0x34,des,inh,2
0x35,txs,inh,2
0x36,psha,inh,2
0x37,pshb,inh,2
0x39,rts,inh,5
0x3b,rti,inh,9
0x3e,wai,inh,9
0x3f,swi,inh,12
0x40,nega,inh,2
0x43,coma,inh,2
0x44,lsra,inh,2
0x46,rora,inh,2
0x47,asra,inh,2
0x48,asla,inh,2
0x49,rola,inh,2
0x4a,deca,inh,2
0x4c,inca,inh,2
0x4d,tsta,inh,2
0x4f,clra,inh,2
0x50,negb,inh,2
0x53,comb,inh,2
0x54,lsrb,inh,2
0x56,rorb,inh,2
0x57,asrb,inh,2
0x58,aslb,inh,2
0x59,rolb,inh,2
0x5a,decb,inh,2
0x5c,incb,inh,2
0x5d,tstb,inh,2
0x5f,clrb,inh,2
0x60,neg,idx,4
0x63,com,idx,4
0x64,lsr,idx,4
0x66,ror,idx,4
0x67,asr,idx,4
0x68,asl,idx,4
0x69,rol,idx,4
0x6a,dec,idx,4
0x6c,inc,idx,4
0x6d,tst,idx,4
0x6e,jmp,idx,4
0x6f,clr,idx,4
0x70,neg,ext,4
0x73,com,ext,4
0x74,lsr,ext,4
0x76,ror,ext,4
0x77,asr,ext,4
0x78,asl,ext,4
0x79,rol,ext,4
0x7a,dec,ext,4
0x7c,inc,ext,4
0x7d,tst,ext,4
0x7e,jmp,ext,4
0x7f,clr,ext,4
0x80,suba,imb,2
0x81,cmpa,imb,2
0x82,sbca,imb,2
0x84,anda,imb,2
0x85,bita,imb,2
0x86,ldaa,imb,2
0x88,eora,imb,2
0x89,adca,imb,2
0x8a,oraa,imb,2
0x8b,adda,imb,2
0x8c,cpx,imw,3
0x8d,bsr,rel,7
0x8e,lds,imw,3
0x90,suba,dir,3
0x91,cmpa,dir,3
0x92,sbca,dir,3
0x94,anda,dir,3
0x95,bita,dir,3
0x96,ldaa,dir,3
0x97,staa,dir,3
0x98,eora,dir,3
0x99,adca,dir,3
0x9a,oraa,dir,3
0x9b,adda,dir,3
0x9c,cpx,dir,3
0x9e,lds,dir,3
0x9f,sts,dir,3
0xa0,suba,idx,4
0xa1,cmpa,idx,4
0xa2,sbca,idx,4
0xa4,anda,idx,4
0xa5,bita,idx,4
0xa6,ldaa,idx,4
0xa7,staa,idx,4
0xa8,eora,idx,4
0xa9,adca,idx,4
0xaa,oraa,idx,4
0xab,adda,idx,4
0xac,cpx,idx,4
0xad,jsr,idx,6
0xae,lds,idx,4
0xaf,sts,idx,4
0xb0,suba,ext,4
0xb1,cmpa,ext,4
0xb2,sbca,ext,4
0xb4,anda,ext,4
0xb5,bita,ext,4
0xb6,ldaa,ext,4
0xb7,staa,ext,4
0xb8,eora,ext,4
0xb9,adca,ext,4
0xba,oraa,ext,4
0xbb,adda,ext,4
0xbc,cpx,ext,4
0xbd,jsr,ext,7
0xbe,lds,ext,4
0xbf,sts,ext,4
0xc0,subb,imb,2
0xc1,cmpb,imb,2
0xc2,sbcb,imb,2
0xc4,andb,imb,2
0xc5,bitb,imb,2
0xc6,ldab,imb,2
0xc8,eorb,imb,2
0xc9,adcb,imb,2
0xca,orab,imb,2
0xcb,addb,imb,2
0xce,ldx,imw,3
0xd0,subb,dir,3
0xd1,cmpb,dir,3
0xd2,sbcb,dir,3
0xd4,andb,dir,3
0xd5,bitb,dir,3
0xd6,ldab,dir,3
0xd7,stab,dir,3
0xd8,eorb,dir,3
0xd9,adcb,dir,3
0xda,orab,dir,3
0xdb,addb,dir,3
0xde,ldx,dir,3
0xdf,stx,dir,3
0xe0,subb,idx,4
0xe1,cmpb,idx,4
0xe2,sbcb,idx,4
0xe4,andb,idx,4
0xe5,bitb,idx,4
0xe6,ldab,idx,4
0xe7,stab,idx,4
0xe8,eorb,idx,4
0xe9,adcb,idx,4
0xea,orab,idx,4
0xeb,addb,idx,4
0xee,ldx,idx,4
0xef,stx,idx,4
0xf0,subb,ext,4
0xf1,cmpb,ext,4
0xf2,sbcb,ext,4
0xf4,andb,ext,4
0xf5,bitb,ext,4
0xf6,ldab,ext,4
0xf7,stab,ext,4
0xf8,eorb,ext,4
0xf9,adcb,ext,4
0xfa,orab,ext,4
0xfb,addb,ext,4
0xfe,ldx,ext,4
0xff,stx,ext,4
